candidate_id	term	candidate_kind	extraction_method	paper_count	occurrences	levels	level_distribution	task_labels	domain_tags	risk_flags	noise_flags	wordhood_score	year_distribution	paper_ids	source_level	status
a8e71a9538b0b124e7f8	一体化	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	6	6	2;3	"{""1"":0,""2"":6,""3"":4}"	程序审查	{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '一体化处罚观', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}			3.4	"{""2023"":9,""2025"":1}"	FXZZ202302010;FXZZ202309004;FXZZ202310005;FXZZ202311003;FXZZ202311004;FXZZ202501004	A1/A2	pending_human_review
159e850becf2a589635e	一定的程	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	2	2	2	"{""1"":0,""2"":2,""3"":0}"	程序审查;规范依据	{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '利益衡量', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	1.0	"{""2023"":2}"	FXZZ202301005;FXZZ202312003	A1/A2	pending_human_review
cf7cecb5ffc785c792c4	一致性	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	4	4	1;2	"{""1"":1,""2"":4,""3"":0}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '合目的性改革', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.72, 'domain': '合同法', 'evidence_source': 'keyword', 'evidence_span': '惩罚性违约金', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	2.133333	"{""2023"":3,""2024"":2}"	FXZZ202301004;FXZZ202304007;FXZZ202403009;FXZZ202404008	A1/A2	pending_human_review
8d2be45b063e98e5cec7	一般公共	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	2	2	2;3	"{""1"":0,""2"":1,""3"":1}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '利益衡量', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.66, 'domain': '比较法', 'evidence_source': 'keyword', 'evidence_span': '国际投资协定', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	1.0	"{""2023"":1,""2024"":1}"	FXZZ202301005;FXZZ202407012	A1/A2	pending_human_review
fbe23424d041bfe99668	一般性	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	3	3	1;2	"{""1"":1,""2"":2,""3"":0}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '利益衡量', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	1.833333	"{""2023"":3}"	FXZZ202301005;FXZZ202304007;FXZZ202309009	A1/A2	pending_human_review
f89d682564608a1dd42c	一般情	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	2	2	2	"{""1"":0,""2"":2,""3"":0}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '税收争议解决', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.66, 'domain': '比较法', 'evidence_source': 'keyword', 'evidence_span': '国际税收协调', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.68, 'domain': '程序法', 'evidence_source': 'keyword', 'evidence_span': '相互协商程序', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.76, 'domain': '仲裁法', 'evidence_source': 'keyword', 'evidence_span': '税收仲裁', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	1.333334	"{""2023"":1,""2024"":1}"	FXZZ202304013;FXZZ202404010	A1/A2	pending_human_review
a23cda2b529afde75190	一般意义	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	2	2	2;3	"{""1"":0,""2"":1,""3"":2}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '受害人故意', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.68, 'domain': '侵权责任', 'evidence_source': 'keyword', 'evidence_span': '无权代理人责任', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	0.833333	"{""2023"":1,""2024"":2}"	FXZZ202301010;FXZZ202407013	A1/A2	pending_human_review
bbe27292d454b06d62e3	一般条款	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	3	3	1;2;3	"{""1"":4,""2"":7,""3"":3}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '适度干预', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	1.044643	"{""2023"":14}"	FXZZ202301012;FXZZ202303008;FXZZ202309005	A1/A2	pending_human_review
a50b618d3f7dedb2ec04	一般法	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	2	2	2;3	"{""1"":0,""2"":2,""3"":2}"	规范依据	{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '双边冲突规则', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'};{'confidence': 0.68, 'domain': '程序法', 'evidence_source': 'keyword', 'evidence_span': '程序问题', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment	1.000001	"{""2023"":1,""2024"":3}"	FXZZ202308012;FXZZ202401008	A1/A2	pending_human_review
1c66478728446912d6fc	一般过失	cross_paper_discovery	bounded_chinese_ngram_maximal_repeat	2	2	2;3	"{""1"":0,""2"":1,""3"":3}"		{'confidence': 0.1, 'domain': 'unrouted', 'evidence_source': 'keyword', 'evidence_span': '因果关系', 'label_origin': 'machine_inferred', 'routing_only': True, 'source_level': 'B'}		internal_fragment;low_wordhood_score	0.7	"{""2023"":4}"	FXZZ202304008;FXZZ202305006	A1/A2	pending_human_review
